Company,Category,Subcategory,Region,Sales_Channel,Year,Revenue_USD_Million,Market_Share_%,Growth_%,Urban_Rural
Colgate-Palmolive,Health Care,Shampoo,East,Online,2022,3297.84,19.0,12.48,Rural
Colgate-Palmolive,Home Care,Beverages,South,Online,2022,2724.21,2.18,3.94,Urban
Reliance Consumer,Personal Care,Bakery,West,Online,2025,2005.76,8.97,14.27,Rural
Godrej Consumer,Health Care,Ayurvedic Products,East,Online,2023,1071.88,15.44,3.25,Rural
Colgate-Palmolive,Home Care,Oral Care,North,Offline,2025,4971.73,16.88,5.08,Rural
Colgate-Palmolive,Food & Beverages,Biscuits,East,Offline,2020,5334.9,9.49,12.96,Urban
Reliance Consumer,Food & Beverages,Hair Oil,West,Offline,2025,2646.05,14.75,10.87,Rural
Britannia,Health Care,Biscuits,West,Offline,2023,3577.87,10.86,3.14,Rural
Reliance Consumer,Home Care,Ayurvedic Products,South,Online,2020,5111.91,6.62,6.44,Urban
Colgate-Palmolive,Personal Care,Oral Care,East,Offline,2021,3294.86,6.09,13.05,Urban
Britannia,Personal Care,Biscuits,South,Online,2023,4233.3,3.49,4.21,Urban
Patanjali,Home Care,Beverages,West,Offline,2025,5385.08,16.59,12.95,Rural
Britannia,Food & Beverages,Beverages,East,Offline,2020,2369.5,16.63,10.69,Urban
ITC,Health Care,Hair Oil,West,Online,2023,4543.03,19.54,5.87,Rural
Nestle India,Home Care,Oral Care,East,Offline,2020,894.73,1.29,3.17,Rural
Reliance Consumer,Home Care,Noodles,North,Offline,2020,5837.2,7.78,8.86,Urban
Patanjali,Food & Beverages,Insecticides,South,Offline,2025,4414.44,2.39,10.69,Rural
Britannia,Personal Care,Oral Care,North,Online,2020,5007.89,1.85,14.63,Urban
ITC,Health Care,Biscuits,North,Online,2021,4989.04,11.99,14.03,Urban
Reliance Consumer,Food & Beverages,Bakery,North,Offline,2022,1842.64,18.63,6.67,Rural
Patanjali,Personal Care,Soap,West,Offline,2020,3700.76,8.29,11.02,Urban
Britannia,Home Care,Beverages,South,Offline,2025,1429.7,5.79,11.64,Urban
Marico,Health Care,Insecticides,South,Offline,2020,1401.63,14.82,12.8,Rural
Hindustan Unilever,Food & Beverages,Noodles,East,Offline,2023,689.68,11.21,5.01,Rural
Marico,Health Care,Soap,West,Online,2021,4550.79,7.62,14.91,Urban
Colgate-Palmolive,Home Care,Biscuits,South,Online,2022,2541.07,2.91,14.3,Urban
ITC,Personal Care,Shampoo,South,Online,2025,2417.99,16.94,4.32,Urban
Marico,Health Care,Biscuits,South,Offline,2025,5089.76,12.25,14.36,Urban
Colgate-Palmolive,Food & Beverages,Soap,East,Offline,2023,4113.74,15.5,11.47,Rural
Nestle India,Home Care,Beverages,South,Offline,2023,1286.12,6.43,3.73,Urban
Britannia,Food & Beverages,Hair Oil,North,Offline,2022,1144.58,5.69,11.76,Urban
Marico,Food & Beverages,Oral Care,South,Online,2020,721.86,9.14,10.22,Urban
Dabur,Personal Care,Oral Care,South,Offline,2020,3636.79,15.9,5.56,Rural
Britannia,Home Care,Oral Care,North,Offline,2024,1246.7,7.79,8.34,Rural
Nestle India,Personal Care,Biscuits,East,Online,2022,4601.03,5.54,9.51,Rural
Dabur,Health Care,Ayurvedic Products,West,Offline,2021,3113.87,3.89,5.82,Urban
Colgate-Palmolive,Personal Care,Biscuits,West,Offline,2022,5424.42,10.97,4.53,Rural
Hindustan Unilever,Home Care,Soap,East,Online,2023,1672.96,11.08,5.41,Urban
Marico,Personal Care,Oral Care,South,Offline,2020,636.46,11.86,10.37,Urban
Britannia,Food & Beverages,Soap,East,Online,2023,5361.09,4.29,13.5,Urban
Dabur,Food & Beverages,Oral Care,North,Online,2024,5334.31,11.13,10.17,Rural
Hindustan Unilever,Food & Beverages,Noodles,South,Offline,2020,2879.18,4.74,9.75,Rural
Colgate-Palmolive,Health Care,Noodles,South,Offline,2020,630.14,11.17,9.62,Rural
Patanjali,Food & Beverages,Noodles,East,Online,2024,969.16,13.97,13.05,Rural
Marico,Food & Beverages,Ayurvedic Products,South,Online,2023,5917.37,4.22,3.48,Urban
Marico,Home Care,Noodles,East,Offline,2024,5450.8,12.02,11.77,Rural
Nestle India,Health Care,Bakery,South,Offline,2021,2448.4,19.86,12.08,Urban
ITC,Home Care,Shampoo,East,Offline,2025,1771.95,8.87,8.56,Urban
Britannia,Food & Beverages,Bakery,North,Online,2020,2827.92,6.4,12.91,Rural
ITC,Food & Beverages,Biscuits,East,Online,2025,5637.94,12.46,6.36,Rural
ITC,Health Care,Ayurvedic Products,West,Online,2023,5768.41,5.21,4.4,Rural
Dabur,Health Care,Shampoo,South,Online,2024,1510.59,16.63,14.05,Rural
Marico,Health Care,Shampoo,East,Online,2021,528.41,5.17,13.53,Urban
Dabur,Food & Beverages,Noodles,North,Online,2020,5606.92,7.21,10.12,Rural
ITC,Personal Care,Hair Oil,South,Offline,2023,2546.19,6.84,12.87,Urban
Hindustan Unilever,Health Care,Insecticides,North,Offline,2025,3380.62,2.27,14.41,Urban
Colgate-Palmolive,Personal Care,Hair Oil,South,Online,2020,4289.27,11.44,13.53,Rural
Dabur,Food & Beverages,Soap,South,Offline,2021,4602.72,9.45,5.41,Urban
ITC,Home Care,Biscuits,East,Offline,2025,2235.09,16.31,12.29,Urban
Marico,Personal Care,Noodles,East,Offline,2023,5642.7,15.08,10.6,Rural
Nestle India,Home Care,Bakery,North,Online,2021,3376.7,4.25,9.14,Rural
Patanjali,Food & Beverages,Shampoo,East,Offline,2025,1652.14,8.12,4.34,Rural
Patanjali,Food & Beverages,Bakery,South,Online,2020,3249.48,10.97,3.59,Urban
Patanjali,Food & Beverages,Ayurvedic Products,North,Online,2024,4527.43,5.83,7.19,Urban
Godrej Consumer,Food & Beverages,Hair Oil,East,Offline,2025,4102.95,18.6,5.63,Urban
Marico,Health Care,Beverages,West,Online,2022,5584.29,12.95,13.37,Rural
Hindustan Unilever,Personal Care,Soap,East,Online,2023,2020.71,12.29,8.4,Rural
Dabur,Personal Care,Noodles,West,Offline,2022,5926.79,15.1,7.03,Rural
Colgate-Palmolive,Personal Care,Biscuits,North,Online,2023,3909.83,10.12,7.59,Rural
Britannia,Health Care,Insecticides,North,Online,2020,3392.71,10.61,6.2,Rural
Godrej Consumer,Health Care,Noodles,West,Offline,2021,3550.92,17.88,10.46,Urban
Marico,Personal Care,Insecticides,East,Offline,2025,761.68,7.05,8.43,Rural
Nestle India,Personal Care,Soap,East,Offline,2023,5871.1,7.47,10.15,Rural
Nestle India,Health Care,Oral Care,East,Offline,2023,2535.53,2.34,7.27,Rural
Colgate-Palmolive,Personal Care,Ayurvedic Products,West,Offline,2022,2995.05,16.56,7.1,Rural
Dabur,Food & Beverages,Shampoo,West,Online,2020,3638.7,1.7,12.52,Rural
Dabur,Home Care,Soap,North,Offline,2024,5398.4,18.01,4.96,Rural
Reliance Consumer,Food & Beverages,Beverages,West,Offline,2020,1196.33,2.27,11.33,Urban
Marico,Food & Beverages,Noodles,West,Offline,2021,5631.41,10.29,4.75,Rural
Colgate-Palmolive,Personal Care,Noodles,North,Offline,2023,1770.12,16.46,7.24,Urban
Reliance Consumer,Food & Beverages,Shampoo,North,Online,2021,5940.39,12.02,10.89,Urban
Hindustan Unilever,Food & Beverages,Shampoo,East,Online,2024,2435.28,15.2,8.83,Rural
Patanjali,Personal Care,Bakery,West,Online,2024,5270.26,16.85,13.22,Rural
Dabur,Food & Beverages,Noodles,North,Offline,2021,607.52,9.76,8.96,Urban
Britannia,Health Care,Shampoo,South,Offline,2024,5897.81,2.04,3.82,Urban
Dabur,Personal Care,Bakery,South,Offline,2023,3605.75,18.54,4.81,Rural
Nestle India,Home Care,Noodles,North,Offline,2025,5441.93,13.99,5.88,Rural
Nestle India,Health Care,Biscuits,South,Online,2025,5151.0,1.68,8.22,Urban
Dabur,Health Care,Soap,North,Offline,2023,2022.92,15.53,6.6,Rural
Nestle India,Home Care,Beverages,South,Online,2023,1563.83,12.12,3.32,Urban
Britannia,Health Care,Bakery,South,Online,2024,2792.54,1.46,6.0,Urban
Marico,Health Care,Insecticides,West,Offline,2023,4566.58,5.76,14.9,Rural
Hindustan Unilever,Food & Beverages,Bakery,West,Offline,2025,4073.65,4.42,9.7,Urban
Colgate-Palmolive,Personal Care,Shampoo,East,Online,2023,604.96,6.48,8.03,Rural
Reliance Consumer,Personal Care,Biscuits,South,Online,2024,1659.37,5.94,3.49,Urban
Britannia,Home Care,Beverages,South,Online,2024,2550.46,13.14,13.6,Rural
Reliance Consumer,Health Care,Oral Care,West,Offline,2023,801.13,16.37,7.4,Rural
Hindustan Unilever,Home Care,Hair Oil,West,Online,2023,4370.0,9.98,14.11,Urban
Hindustan Unilever,Personal Care,Soap,North,Offline,2020,4866.79,5.12,7.01,Rural
Britannia,Personal Care,Shampoo,West,Offline,2023,3387.05,16.86,10.09,Urban
Nestle India,Personal Care,Shampoo,West,Offline,2025,4342.12,15.11,9.37,Urban
Colgate-Palmolive,Personal Care,Ayurvedic Products,West,Offline,2023,5100.99,13.31,5.48,Urban
Colgate-Palmolive,Health Care,Insecticides,North,Online,2023,4077.28,9.03,5.75,Rural
Patanjali,Home Care,Bakery,North,Online,2024,1650.73,1.88,12.0,Rural
Britannia,Food & Beverages,Hair Oil,West,Online,2022,3996.23,13.8,10.87,Rural
Godrej Consumer,Personal Care,Biscuits,West,Offline,2025,943.16,4.41,4.26,Rural
Hindustan Unilever,Personal Care,Biscuits,North,Offline,2025,4983.58,18.11,5.35,Urban
Marico,Health Care,Oral Care,West,Online,2023,2705.12,16.6,11.47,Urban
Nestle India,Health Care,Bakery,West,Offline,2025,5896.83,14.92,14.71,Rural
Marico,Personal Care,Beverages,South,Offline,2021,5698.9,18.05,7.26,Rural
Reliance Consumer,Health Care,Hair Oil,West,Online,2022,3234.49,4.4,5.44,Urban
Reliance Consumer,Home Care,Biscuits,West,Online,2023,614.26,1.68,6.17,Urban
ITC,Health Care,Bakery,West,Offline,2025,1915.92,8.84,10.9,Urban
Reliance Consumer,Home Care,Biscuits,South,Offline,2023,3864.04,6.04,14.75,Rural
Reliance Consumer,Food & Beverages,Noodles,East,Online,2022,1326.03,6.01,7.44,Rural
Colgate-Palmolive,Health Care,Hair Oil,East,Offline,2025,2973.17,3.8,4.42,Rural
Patanjali,Personal Care,Ayurvedic Products,West,Online,2023,3947.19,4.45,11.13,Urban
Nestle India,Home Care,Shampoo,North,Online,2020,5142.09,6.95,4.4,Urban
Britannia,Home Care,Noodles,South,Offline,2020,677.5,7.77,11.98,Urban
Reliance Consumer,Personal Care,Bakery,East,Online,2020,3459.58,12.67,9.88,Rural
Marico,Food & Beverages,Beverages,North,Online,2023,2386.29,18.88,9.33,Urban
Marico,Personal Care,Noodles,West,Offline,2022,3624.02,15.08,10.15,Rural
Patanjali,Personal Care,Soap,West,Online,2021,995.22,17.36,6.14,Rural
Nestle India,Home Care,Soap,East,Offline,2021,1446.49,11.42,9.41,Urban
Reliance Consumer,Home Care,Shampoo,South,Online,2022,5968.95,11.39,13.07,Urban
Britannia,Food & Beverages,Insecticides,East,Offline,2022,3046.2,5.79,9.84,Urban
Dabur,Home Care,Biscuits,North,Offline,2024,1122.53,10.05,7.41,Urban
Britannia,Health Care,Bakery,South,Online,2022,3057.65,11.59,13.96,Urban
Godrej Consumer,Personal Care,Bakery,South,Offline,2022,2428.06,13.83,8.08,Urban
Reliance Consumer,Food & Beverages,Hair Oil,North,Offline,2021,4661.84,9.82,12.61,Urban
Colgate-Palmolive,Personal Care,Bakery,East,Online,2020,3246.63,3.84,4.65,Urban
Godrej Consumer,Personal Care,Noodles,West,Offline,2020,3802.42,4.36,3.67,Rural
Marico,Home Care,Shampoo,North,Online,2020,5210.89,12.99,8.27,Rural
ITC,Personal Care,Insecticides,East,Online,2025,5800.38,18.77,6.52,Urban
Dabur,Home Care,Soap,South,Offline,2025,886.4,14.34,10.51,Urban
Colgate-Palmolive,Home Care,Insecticides,South,Offline,2025,2895.9,18.63,10.09,Rural
Hindustan Unilever,Home Care,Soap,West,Offline,2021,5935.03,3.37,6.36,Urban
Godrej Consumer,Food & Beverages,Insecticides,West,Online,2023,1646.94,14.97,9.0,Urban
Colgate-Palmolive,Health Care,Noodles,East,Offline,2021,3069.63,13.68,12.81,Rural
Marico,Home Care,Insecticides,North,Offline,2021,4259.26,19.1,6.0,Urban
Patanjali,Home Care,Hair Oil,South,Online,2024,1037.75,10.74,3.3,Rural
Marico,Food & Beverages,Oral Care,West,Offline,2023,1988.73,5.33,6.36,Urban
Patanjali,Health Care,Noodles,East,Offline,2023,2874.41,4.17,13.79,Urban
Reliance Consumer,Food & Beverages,Noodles,East,Online,2022,1298.27,4.9,3.88,Urban
Britannia,Home Care,Ayurvedic Products,West,Offline,2023,4997.14,16.53,6.72,Rural
Britannia,Food & Beverages,Oral Care,East,Offline,2023,1736.33,15.85,6.91,Rural
Hindustan Unilever,Health Care,Insecticides,North,Online,2021,5403.56,12.97,13.1,Rural
Britannia,Food & Beverages,Ayurvedic Products,East,Offline,2020,3752.23,2.45,5.36,Rural
ITC,Home Care,Beverages,North,Offline,2023,1769.62,10.96,4.96,Rural
Britannia,Health Care,Oral Care,North,Online,2025,3450.54,14.17,12.17,Rural
ITC,Health Care,Noodles,South,Online,2023,1159.8,11.25,13.74,Rural
Reliance Consumer,Food & Beverages,Insecticides,North,Offline,2020,5338.24,15.71,6.68,Urban
Colgate-Palmolive,Personal Care,Biscuits,South,Offline,2021,4704.62,7.14,5.53,Urban
Reliance Consumer,Food & Beverages,Hair Oil,South,Offline,2023,1304.96,1.03,3.39,Urban
Britannia,Food & Beverages,Shampoo,East,Offline,2023,5156.22,7.85,4.07,Urban
Dabur,Personal Care,Ayurvedic Products,South,Offline,2020,5648.41,12.17,14.44,Urban
Reliance Consumer,Health Care,Soap,North,Offline,2022,2854.41,11.26,3.43,Urban
Colgate-Palmolive,Home Care,Shampoo,South,Offline,2024,3774.57,11.25,10.31,Rural
Godrej Consumer,Food & Beverages,Ayurvedic Products,East,Offline,2025,4440.28,5.76,13.28,Urban
ITC,Food & Beverages,Insecticides,West,Online,2024,1994.3,4.17,14.94,Rural
Britannia,Food & Beverages,Beverages,West,Online,2024,709.85,15.92,4.81,Urban
Colgate-Palmolive,Personal Care,Hair Oil,South,Online,2025,2741.14,10.32,8.46,Rural
Britannia,Health Care,Oral Care,West,Offline,2020,1383.24,3.81,4.81,Rural
Marico,Personal Care,Soap,North,Online,2020,941.84,16.5,9.67,Urban
Patanjali,Health Care,Beverages,West,Online,2022,2198.04,14.54,3.15,Rural
Godrej Consumer,Personal Care,Biscuits,North,Online,2022,2419.93,16.8,10.21,Urban
Godrej Consumer,Home Care,Soap,South,Online,2024,3704.14,10.31,5.89,Urban
Dabur,Food & Beverages,Shampoo,North,Offline,2023,3972.61,7.36,3.15,Urban
Nestle India,Home Care,Insecticides,West,Offline,2020,5128.0,16.5,5.87,Urban
Dabur,Personal Care,Soap,North,Offline,2025,1242.09,9.7,8.77,Rural
Marico,Food & Beverages,Insecticides,South,Offline,2020,4112.04,4.9,5.7,Urban
Hindustan Unilever,Home Care,Bakery,North,Offline,2021,3482.53,8.68,3.34,Rural
ITC,Home Care,Insecticides,South,Offline,2022,4818.61,17.56,10.34,Urban
Britannia,Personal Care,Biscuits,North,Online,2022,1546.04,3.77,11.59,Rural
Colgate-Palmolive,Home Care,Hair Oil,West,Offline,2023,1914.03,16.64,8.29,Urban
Patanjali,Health Care,Ayurvedic Products,East,Online,2020,1205.41,17.88,8.46,Rural
Reliance Consumer,Home Care,Hair Oil,East,Offline,2023,2142.65,15.38,3.52,Urban
Colgate-Palmolive,Personal Care,Bakery,North,Offline,2023,4134.07,18.21,7.97,Urban
Hindustan Unilever,Health Care,Bakery,West,Offline,2022,5174.72,17.41,12.69,Urban
Godrej Consumer,Personal Care,Ayurvedic Products,West,Online,2025,3316.67,1.23,4.09,Urban
Marico,Home Care,Bakery,South,Online,2022,2678.8,1.16,8.63,Urban
Marico,Food & Beverages,Ayurvedic Products,East,Online,2021,1884.6,14.4,3.59,Rural
Dabur,Health Care,Biscuits,North,Online,2021,5654.02,2.33,13.16,Rural
Godrej Consumer,Home Care,Biscuits,North,Offline,2022,3920.51,2.06,13.75,Urban
Marico,Health Care,Beverages,West,Online,2024,1702.72,9.21,9.36,Rural
Patanjali,Health Care,Bakery,West,Online,2023,2936.23,15.85,8.0,Rural
Britannia,Food & Beverages,Shampoo,West,Offline,2022,2953.47,4.16,13.95,Rural
Colgate-Palmolive,Health Care,Biscuits,North,Offline,2024,1217.38,18.79,12.75,Urban
ITC,Personal Care,Hair Oil,South,Online,2025,1341.3,8.8,9.57,Rural
Colgate-Palmolive,Home Care,Beverages,South,Online,2021,3434.98,2.73,13.8,Urban
Dabur,Home Care,Hair Oil,West,Online,2020,864.05,14.58,9.49,Urban
Hindustan Unilever,Food & Beverages,Beverages,North,Offline,2022,3946.8,9.99,8.04,Urban
Marico,Health Care,Hair Oil,East,Online,2024,1717.87,15.43,7.44,Urban
Nestle India,Home Care,Biscuits,South,Online,2025,2496.36,1.4,12.52,Rural
Marico,Health Care,Bakery,North,Online,2024,4787.22,7.69,13.79,Urban
Marico,Personal Care,Soap,East,Offline,2025,1128.18,15.91,3.12,Urban
Colgate-Palmolive,Home Care,Biscuits,East,Online,2022,5715.29,16.33,8.58,Rural
ITC,Home Care,Bakery,North,Offline,2025,2852.92,6.01,12.63,Urban
Godrej Consumer,Personal Care,Shampoo,North,Online,2022,5602.62,15.78,13.68,Urban
Patanjali,Food & Beverages,Soap,West,Online,2022,2707.85,15.62,13.45,Rural
Nestle India,Personal Care,Bakery,South,Online,2023,917.6,16.29,4.32,Rural
Godrej Consumer,Health Care,Noodles,North,Offline,2024,4954.78,7.44,12.45,Urban
Colgate-Palmolive,Personal Care,Biscuits,North,Offline,2020,700.32,15.04,4.52,Urban
Britannia,Home Care,Soap,South,Online,2020,1211.27,1.03,13.94,Urban
Colgate-Palmolive,Health Care,Shampoo,South,Offline,2024,745.87,14.15,12.69,Rural
Marico,Personal Care,Bakery,West,Offline,2021,2944.83,12.91,11.83,Rural
Dabur,Health Care,Ayurvedic Products,North,Online,2023,3152.6,13.75,7.32,Rural
Britannia,Health Care,Oral Care,South,Online,2022,4661.44,7.18,13.68,Urban
Godrej Consumer,Personal Care,Noodles,North,Offline,2024,3527.67,14.24,4.88,Urban
Nestle India,Health Care,Soap,West,Offline,2025,4293.72,1.31,4.88,Rural
Nestle India,Home Care,Hair Oil,East,Offline,2021,2855.71,8.26,10.43,Rural
Hindustan Unilever,Food & Beverages,Beverages,North,Online,2021,4426.77,4.82,3.35,Urban
Marico,Health Care,Insecticides,North,Offline,2023,4665.02,16.23,3.37,Urban
Marico,Food & Beverages,Shampoo,West,Online,2022,2326.31,14.58,8.98,Rural
Nestle India,Home Care,Shampoo,West,Online,2020,1066.9,12.68,3.83,Rural
Dabur,Home Care,Soap,East,Offline,2020,3546.84,11.65,3.39,Rural
Hindustan Unilever,Health Care,Beverages,North,Offline,2021,1588.15,19.1,11.74,Urban
Patanjali,Food & Beverages,Oral Care,West,Offline,2023,5623.8,8.66,8.26,Urban
Godrej Consumer,Personal Care,Ayurvedic Products,East,Offline,2020,4478.53,4.48,3.52,Urban
Colgate-Palmolive,Food & Beverages,Hair Oil,East,Offline,2020,3728.99,11.95,14.3,Rural
Marico,Health Care,Shampoo,East,Online,2022,1103.86,8.89,12.35,Rural
Reliance Consumer,Personal Care,Hair Oil,South,Offline,2025,1965.47,16.64,11.49,Rural
ITC,Food & Beverages,Shampoo,South,Offline,2024,4767.2,11.98,9.24,Urban
Hindustan Unilever,Health Care,Oral Care,East,Online,2024,5691.62,14.81,4.71,Rural
Nestle India,Personal Care,Noodles,West,Offline,2024,3006.51,19.54,5.29,Rural
Nestle India,Personal Care,Soap,North,Online,2025,3072.84,6.29,13.78,Rural
Godrej Consumer,Food & Beverages,Insecticides,East,Offline,2020,600.68,8.02,6.27,Urban
Hindustan Unilever,Food & Beverages,Shampoo,East,Offline,2021,3090.18,12.85,11.41,Urban
Hindustan Unilever,Food & Beverages,Hair Oil,East,Offline,2025,4277.81,15.45,7.58,Urban
Reliance Consumer,Personal Care,Shampoo,South,Online,2020,4185.11,9.97,5.69,Urban
Reliance Consumer,Personal Care,Insecticides,South,Online,2022,2428.6,5.63,13.05,Rural
Patanjali,Health Care,Noodles,West,Offline,2023,923.54,16.84,13.3,Rural
Hindustan Unilever,Personal Care,Shampoo,West,Offline,2025,2798.22,14.15,4.89,Rural
Colgate-Palmolive,Health Care,Oral Care,North,Online,2023,1647.04,6.9,4.54,Rural
ITC,Health Care,Noodles,South,Offline,2021,5238.68,17.88,14.32,Urban
Marico,Personal Care,Soap,South,Online,2024,3878.35,12.34,5.45,Rural
Nestle India,Home Care,Oral Care,West,Offline,2020,1686.83,4.49,13.23,Urban
Patanjali,Food & Beverages,Shampoo,South,Offline,2020,3606.44,15.51,4.27,Rural
Hindustan Unilever,Food & Beverages,Beverages,North,Online,2022,3767.15,3.11,11.97,Rural
Godrej Consumer,Health Care,Bakery,South,Offline,2024,5561.4,14.47,14.5,Urban
Colgate-Palmolive,Home Care,Noodles,West,Offline,2021,1409.09,6.18,6.03,Urban
Dabur,Health Care,Noodles,South,Offline,2022,4247.57,16.02,14.25,Urban
Colgate-Palmolive,Health Care,Beverages,East,Online,2021,3220.83,3.52,10.04,Rural
Colgate-Palmolive,Personal Care,Bakery,East,Offline,2025,617.36,9.18,8.07,Urban
Patanjali,Health Care,Bakery,North,Online,2020,5525.59,2.08,5.78,Urban
ITC,Health Care,Noodles,South,Online,2024,1476.96,10.82,14.48,Rural
Hindustan Unilever,Health Care,Insecticides,North,Offline,2025,517.53,8.52,4.44,Rural
Nestle India,Health Care,Insecticides,South,Online,2023,1425.81,8.31,14.14,Urban
Dabur,Food & Beverages,Insecticides,North,Online,2025,3101.58,12.76,5.45,Rural
Patanjali,Personal Care,Insecticides,South,Online,2020,796.44,3.91,8.23,Rural
Hindustan Unilever,Food & Beverages,Insecticides,North,Online,2025,624.67,17.5,4.05,Rural
ITC,Health Care,Shampoo,North,Online,2025,3043.48,1.09,4.07,Urban
Colgate-Palmolive,Home Care,Ayurvedic Products,East,Online,2024,3620.77,2.58,11.43,Urban
Nestle India,Health Care,Soap,North,Offline,2025,998.58,13.89,12.93,Urban
Nestle India,Personal Care,Soap,West,Online,2021,3963.98,7.2,13.85,Rural
Colgate-Palmolive,Health Care,Bakery,East,Online,2020,2209.37,12.53,14.24,Urban
Hindustan Unilever,Home Care,Hair Oil,South,Offline,2021,1412.02,17.95,12.39,Urban
Reliance Consumer,Health Care,Bakery,South,Online,2025,3793.85,3.51,3.67,Urban
Hindustan Unilever,Food & Beverages,Hair Oil,East,Offline,2024,1750.43,10.38,3.5,Rural
Marico,Health Care,Oral Care,East,Offline,2024,3783.71,2.19,8.97,Urban
Reliance Consumer,Personal Care,Beverages,South,Online,2023,1592.28,16.13,8.78,Urban
Godrej Consumer,Health Care,Soap,East,Online,2024,3055.42,13.37,8.63,Urban
Marico,Home Care,Biscuits,West,Online,2024,2357.42,13.06,10.51,Urban
Dabur,Home Care,Oral Care,West,Online,2021,5231.05,1.58,10.24,Rural
Godrej Consumer,Personal Care,Insecticides,East,Online,2023,4581.82,9.63,7.34,Rural
Dabur,Home Care,Ayurvedic Products,East,Online,2025,2421.96,6.99,13.52,Urban
ITC,Home Care,Oral Care,East,Online,2025,5325.74,10.8,8.83,Rural
Colgate-Palmolive,Personal Care,Insecticides,East,Online,2022,2224.65,16.69,7.22,Rural
Dabur,Home Care,Beverages,West,Online,2021,2244.91,13.93,6.45,Rural
Hindustan Unilever,Food & Beverages,Insecticides,North,Offline,2020,1796.32,19.33,9.47,Urban
Hindustan Unilever,Food & Beverages,Shampoo,North,Online,2021,756.62,19.24,8.47,Urban
Reliance Consumer,Health Care,Ayurvedic Products,South,Online,2021,2715.1,9.04,11.67,Rural
Dabur,Food & Beverages,Ayurvedic Products,East,Online,2021,5522.08,5.32,5.87,Rural
ITC,Health Care,Biscuits,South,Offline,2025,1691.15,13.01,9.21,Urban
Marico,Food & Beverages,Hair Oil,North,Online,2021,1851.65,11.68,14.12,Urban
Dabur,Food & Beverages,Insecticides,South,Offline,2025,5775.28,7.72,6.67,Urban
Marico,Food & Beverages,Noodles,East,Offline,2023,2211.8,11.82,13.08,Urban
Patanjali,Health Care,Insecticides,North,Offline,2021,2392.22,2.29,5.33,Urban
Colgate-Palmolive,Home Care,Insecticides,North,Offline,2024,1042.95,11.6,3.94,Urban
Nestle India,Personal Care,Insecticides,West,Offline,2025,2749.52,12.21,14.37,Urban
Nestle India,Home Care,Shampoo,West,Online,2025,5298.73,5.92,6.88,Rural
Nestle India,Home Care,Insecticides,East,Online,2023,5097.62,9.99,11.19,Urban
Patanjali,Food & Beverages,Soap,East,Online,2020,586.95,1.05,5.39,Rural
ITC,Health Care,Hair Oil,East,Online,2020,1712.22,15.79,7.39,Rural
Marico,Food & Beverages,Soap,South,Offline,2023,1410.38,19.2,3.41,Urban
Godrej Consumer,Food & Beverages,Bakery,North,Offline,2025,5548.68,5.49,14.69,Rural
Nestle India,Home Care,Noodles,West,Offline,2022,5816.31,17.84,7.66,Rural
Hindustan Unilever,Home Care,Oral Care,West,Offline,2022,2486.28,19.39,4.1,Urban
ITC,Home Care,Biscuits,South,Online,2023,3877.56,8.04,10.65,Urban
Godrej Consumer,Home Care,Biscuits,West,Offline,2023,4991.57,18.18,8.3,Urban
Hindustan Unilever,Personal Care,Ayurvedic Products,West,Online,2022,820.45,9.98,7.96,Rural
Hindustan Unilever,Food & Beverages,Soap,North,Online,2021,4685.45,4.67,9.74,Rural
Patanjali,Food & Beverages,Insecticides,East,Offline,2021,2962.27,13.47,10.43,Rural
Marico,Personal Care,Soap,South,Online,2023,2981.65,6.75,7.56,Rural
ITC,Food & Beverages,Bakery,North,Offline,2024,2642.21,15.65,5.64,Urban
ITC,Home Care,Ayurvedic Products,West,Online,2024,766.06,6.49,9.21,Urban
Reliance Consumer,Home Care,Noodles,East,Offline,2023,5971.52,3.45,8.64,Rural
Hindustan Unilever,Personal Care,Biscuits,East,Offline,2022,1551.33,9.92,9.8,Urban
Marico,Health Care,Shampoo,North,Offline,2022,993.33,8.56,12.06,Rural
Britannia,Health Care,Shampoo,North,Offline,2020,2496.27,8.22,6.04,Rural
Nestle India,Personal Care,Bakery,North,Online,2023,1305.63,11.72,4.8,Rural
Nestle India,Health Care,Beverages,South,Offline,2021,3900.78,5.98,11.54,Rural
Dabur,Food & Beverages,Hair Oil,South,Offline,2023,4587.02,15.28,14.95,Urban
Godrej Consumer,Home Care,Hair Oil,North,Online,2020,1900.95,5.42,9.95,Urban
Patanjali,Food & Beverages,Biscuits,South,Online,2021,4141.59,18.57,9.11,Rural
Colgate-Palmolive,Home Care,Soap,West,Offline,2025,1948.27,4.66,5.45,Rural
Britannia,Food & Beverages,Hair Oil,South,Offline,2024,1002.7,11.45,5.44,Rural
Reliance Consumer,Food & Beverages,Ayurvedic Products,North,Online,2024,5340.78,7.48,12.74,Rural
Patanjali,Health Care,Shampoo,South,Online,2020,3745.33,15.65,14.56,Rural
Hindustan Unilever,Health Care,Beverages,North,Offline,2020,3069.91,5.46,11.97,Rural
Britannia,Personal Care,Ayurvedic Products,North,Online,2023,4756.98,11.33,5.64,Urban
Patanjali,Personal Care,Noodles,North,Offline,2025,2537.09,16.06,4.17,Rural
Reliance Consumer,Health Care,Ayurvedic Products,East,Online,2023,1395.06,12.25,11.61,Urban
Colgate-Palmolive,Health Care,Bakery,East,Offline,2023,2732.03,7.41,6.76,Urban
